targetname,datetime_str,datetime_jd,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,IB_elong,IB_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,H,G
Pasithee (538),2023-Oct-01 00:00,2460218.5,,,34.40816,12.42419,36.29328,3.34039,16.01652,-1.93416,,,,,-3092.6,-64.544,268.83,,999,,,,100.0,,3093.3,*,,,,,,96.89,0.0,,,36.3018,-1.2675,4.806574990544,-0.2953404,4.80657499054426,-0.2953404,39.97506524,15.6251078,15.6251078,0.0,/*,0.003,,,23.7988,,,0.00127,Ari,69.182355,36.3018412,-1.2674691,,,153.567219,-45.258836,,8.328331,,,,,,,,,,,,,,,0.003,36.3003,-1.2674,,
Pasithee (538),2023-Oct-02 00:00,2460219.5,,,34.51301,12.4572,36.40026,3.32749,16.02396,-1.93587,,,,,-3034.29,-81.94,268.478,,999,,,,100.0,,3035.431,*,,,,,,96.89,0.0,,,36.4094,-1.2699,4.8064105084,-0.2742268,4.80641050839991,-0.2742268,39.97369728,15.6315391,15.6315392,0.0,/*,0.003,,,23.3645,,,0.00127,Ari,69.182353,36.4094188,-1.2698738,,,153.674096,-45.181988,,8.325973,,,,,,,,,,,,,,,0.003,36.4079,-1.2698,,
Hegemone (539),2023-Oct-01 00:00,2460218.5,,,32.66347,13.00033,34.98929,4.57983,12.66932,-1.17452,,,,,-7778.91,4397.457,299.568,,999,,,,100.0,,8931.082,*,,,,,,95.3,0.0,,,34.8871,-0.1596,5.020655010943,-1.460402,5.02065501094297,-1.460402,41.75551447,12.952334,12.9523341,0.0,/*,0.0025,,,102.0672,,,0.00207,Ari,69.182355,34.8871153,-0.1596026,,,151.033095,-45.505098,,8.328331,,,,,,,,,,,,,,,0.0025,34.8859,-0.1596,,
Hegemone (539),2023-Oct-02 00:00,2460219.5,,,32.74545,13.029,35.07406,4.57198,12.6817,-1.18107,,,,,-7800.46,4398.233,299.504,,999,,,,100.0,,8950.218,*,,,,,,95.32,0.0,,,34.972,-0.1593,5.019810468545,-1.464148,5.01981046854538,-1.464148,41.74849063,12.9636021,12.9636022,0.0,/*,0.0025,,,101.7904,,,0.00208,Ari,69.182353,34.971983,-0.1593224,,,151.118276,-45.444809,,8.325973,,,,,,,,,,,,,,,0.0025,34.9708,-0.1593,,
Mneme (540),2023-Oct-01 00:00,2460218.5,,,36.95572,13.09416,38.83541,2.91714,12.59996,-0.02109,,,,,6043.339,-1588.24,104.675,,999,,,,100.0,,6249.819,*,,,,,,90.1,0.0,,,38.8704,-1.4364,5.009150748091,2.205532,5.00915074809108,2.205532,41.65983644,12.9053048,12.9053048,0.0,/*,0.0024,,,103.8301,,,-0.00385,Ari,69.182355,38.8703819,-1.4364022,,,156.158947,-43.472571,,8.328331,,,,,,,,,,,,,,,0.0024,38.8692,-1.4365,,
Mneme (540),2023-Oct-02 00:00,2460219.5,,,37.03428,13.12862,38.91943,2.91701,12.57505,-0.01717,,,,,6019.217,-1559.66,104.477,,999,,,,100.0,,6219.232,*,,,,,,90.08,0.0,,,38.9539,-1.428,5.010422444251,2.1982338,5.01042244425082,2.1982338,41.67041281,12.882457,12.882457,0.0,/*,0.0024,,,104.3025,,,-0.00386,Ari,69.182353,38.9539067,-1.4280421,,,156.226344,-43.404403,,8.325973,,,,,,,,,,,,,,,0.0024,38.9527,-1.4282,,
Aoede (541),2023-Oct-01 00:00,2460218.5,,,35.97497,13.57389,38.16387,3.74866,14.80348,-2.58444,,,,,3629.957,1405.226,68.803,,999,,,,100.0,,3891.757,*,,,,,,99.9,0.0,,,38.1196,-0.6766,4.92071440158,3.2684346,4.92071440158025,3.2684346,40.92433377,15.2516911,15.2516911,0.0,/*,0.0028,,,61.8595,,,0.00429,Ari,69.182355,38.1195876,-0.6765588,,,154.688164,-43.523616,,8.328331,,,,,,,,,,,,,,,0.0029,38.1182,-0.6765,,
Aoede (541),2023-Oct-02 00:00,2460219.5,,,36.07456,13.59906,38.2626,3.73138,14.75444,-2.59832,,,,,3658.684,1372.077,69.408,,999,,,,100.0,,3906.809,*,,,,,,99.99,0.0,,,38.2194,-0.6839,4.922609203648,3.2930709,4.92260920364751,3.2930709,40.94009236,15.2181431,15.2181431,0.0,/*,0.0028,,,62.8022,,,0.00434,Ari,69.182353,38.2193558,-0.6838725,,,154.788294,-43.454852,,8.325973,,,,,,,,,,,,,,,0.0028,38.2179,-0.6838,,
Thelxinoe (542),2023-Oct-01 00:00,2460218.5,,,35.05632,12.09336,36.73102,2.7751,11.27945,-1.71805,,,,,-1519.44,-2099.58,215.912,,999,,,,100.0,,2591.955,*,,,,,,98.66,0.0,,,36.7924,-1.7872,5.114897881168,-0.5742429,5.11489788116834,-0.5742429,42.53930853,11.7711861,11.7711862,0.0,/*,0.0022,,,156.096,,,0.0015,Ari,69.182355,36.7923917,-1.7872309,,,154.582285,-45.25233,,8.328331,,,,,,,,,,,,,,,0.0022,36.7913,-1.7872,,
Thelxinoe (542),2023-Oct-02 00:00,2460219.5,,,35.13112,12.11433,36.80632,2.76367,11.28526,-1.71295,,,,,-1574.97,-2111.71,216.736,,999,,,,100.0,,2634.622,*,,,,,,98.63,0.0,,,36.8684,-1.7912,5.114559915983,-0.596089,5.11455991598263,-0.596089,42.53649775,11.7766258,11.7766259,0.0,/*,0.0022,,,155.6756,,,0.00148,Ari,69.182353,36.8684044,-1.7912183,,,154.659247,-45.198944,,8.325973,,,,,,,,,,,,,,,0.0023,36.8673,-1.7912,,
